Year,Month,Quarter,Period,Country,Sector,Deal Type, Value 
2008,3,Q1,2008Q1,China,Wind,Asset finance investments, 72.88 
2013,5,Q2,2013Q2,China,Wind,Asset finance investments, 67.20 
2013,1,Q1,2013Q1,China,Wind,Asset finance investments, 72.14 
2014,6,Q2,2014Q2,China,Wind,Asset finance investments, 68.46 
2010,9,Q3,2010Q3,China,Wind,Asset finance investments, 68.74 
2010,1,Q1,2010Q1,China,Wind,Asset finance investments, 69.30 
2010,1,Q1,2010Q1,China,Wind,Asset finance investments, 69.30 
2010,6,Q2,2010Q2,China,Wind,Asset finance investments, 69.02 
2007,8,Q3,2007Q3,China,Wind,Asset finance investments, 59.25 
2014,12,Q4,2014Q4,China,Wind,Asset finance investments, 71.40 
2012,10,Q4,2012Q4,China,Wind,Asset finance investments, 44.14 
2016,8,Q3,2016Q3,China,Wind,Asset finance investments, 50.73 
2016,8,Q3,2016Q3,China,Wind,Asset finance investments, 69.24 
2007,1,Q1,2007Q1,China,Wind,Asset finance investments, 20.40 
2012,4,Q2,2012Q2,China,Wind,Asset finance investments, 59.71 
2007,9,Q3,2007Q3,China,Wind,Asset finance investments, 67.93 
2008,5,Q2,2008Q2,China,Wind,Asset finance investments, 34.91 
2010,1,Q1,2010Q1,China,Wind,Asset finance investments, 71.05 
2013,9,Q3,2013Q3,China,Wind,Asset finance investments, 5.60 
2012,12,Q4,2012Q4,China,Solar,Asset finance investments, 15.86 
2008,9,Q3,2008Q3,China,Wind,Asset finance investments, 72.45 
2012,5,Q2,2012Q2,China,Solar,Asset finance investments, 6.17 
2015,5,Q2,2015Q2,China,Wind,Asset finance investments, 290.44 
2012,4,Q2,2012Q2,China,Wind,Asset finance investments, 72.14 
2012,10,Q4,2012Q4,China,Solar,Asset finance investments, 50.10 
2013,10,Q4,2013Q4,China,Solar,Asset finance investments, 32.00 
2015,7,Q3,2015Q3,China,Wind,Asset finance investments, 279.30 
2013,3,Q1,2013Q1,China,Wind,Asset finance investments, 47.60 
2017,11,Q4,2017Q4,China,Wind,Asset finance investments, 35.70 
2014,3,Q1,2014Q1,China,Wind,Asset finance investments, 58.80 
2010,3,Q1,2010Q1,China,Wind,Asset finance investments, 75.45 
2011,10,Q4,2011Q4,China,Solar,Asset finance investments, 9.03 
2016,12,Q4,2016Q4,China,Wind,Asset finance investments, 346.50 
2010,4,Q2,2010Q2,China,Wind,Asset finance investments, 79.11 
2013,3,Q1,2013Q1,China,Wind,Asset finance investments, 69.59 
2017,6,Q2,2017Q2,China,Wind,Asset finance investments, 53.09 
2011,3,Q1,2011Q1,China,Biomass & Waste,Asset finance investments, 1.52 
2015,4,Q2,2015Q2,China,Wind,Asset finance investments, 75.43 
2015,8,Q3,2015Q3,China,Wind,Asset finance investments, 66.85 
2011,6,Q2,2011Q2,China,Wind,Asset finance investments, 76.75 
2016,11,Q4,2016Q4,China,Wind,Asset finance investments, 48.34 
2009,12,Q4,2009Q4,China,Wind,Asset finance investments, 66.99 
2010,8,Q3,2010Q3,China,Wind,Asset finance investments, 70.00 
2011,10,Q4,2011Q4,China,Wind,Asset finance investments, 72.77 
2010,7,Q3,2010Q3,China,Wind,Asset finance investments, 69.30 
2010,6,Q2,2010Q2,China,Wind,Asset finance investments, 69.30 
2014,12,Q4,2014Q4,China,Solar,Asset finance investments, 19.34 
2009,5,Q2,2009Q2,China,Wind,Asset finance investments, 73.38 
2012,4,Q2,2012Q2,China,Wind,Asset finance investments, 76.43 
2013,11,Q4,2013Q4,China,Solar,Asset finance investments, 32.00 
2014,10,Q4,2014Q4,China,Solar,Asset finance investments, 48.00 
2008,9,Q3,2008Q3,China,Wind,Asset finance investments, 74.87 
2011,6,Q2,2011Q2,China,Wind,Asset finance investments, 44.10 
2008,7,Q3,2008Q3,China,Wind,Asset finance investments, 74.35 
2010,5,Q2,2010Q2,China,Wind,Asset finance investments, 65.61 
2009,6,Q2,2009Q2,China,Wind,Asset finance investments, 71.59 
2010,10,Q4,2010Q4,China,Wind,Asset finance investments, 67.20 
2009,4,Q2,2009Q2,China,Wind,Asset finance investments, 76.99 
2017,5,Q2,2017Q2,China,Solar,Asset finance investments, 27.32 
2014,2,Q1,2014Q1,China,Wind,Asset finance investments, 69.51 
2017,4,Q2,2017Q2,China,Solar,Asset finance investments, 25.08 
2011,6,Q2,2011Q2,China,Solar,Asset finance investments, 90.30 
2012,10,Q4,2012Q4,China,Solar,Asset finance investments, 63.46 
2015,12,Q4,2015Q4,China,Solar,Asset finance investments, 80.00 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 12.92 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 12.92 
2013,10,Q4,2013Q4,China,Solar,Asset finance investments, 32.00 
2013,10,Q4,2013Q4,China,Solar,Asset finance investments, 32.00 
2016,4,Q2,2016Q2,China,Solar,Asset finance investments, 12.10 
2016,4,Q2,2016Q2,China,Solar,Asset finance investments, 24.20 
2013,5,Q2,2013Q2,China,Solar,Asset finance investments, 17.88 
2013,10,Q4,2013Q4,China,Solar,Asset finance investments, 32.00 
2008,5,Q2,2008Q2,China,Wind,Asset finance investments, 70.96 
2010,10,Q4,2010Q4,China,Wind,Asset finance investments, 56.28 
2018,3,Q1,2018Q1,China,Solar,Asset finance investments, 34.61 
2014,7,Q3,2014Q3,China,Wind,Asset finance investments, 66.50 
2015,12,Q4,2015Q4,China,Wind,Asset finance investments, 40.04 
2014,6,Q2,2014Q2,China,Solar,Asset finance investments, 53.07 
2008,6,Q2,2008Q2,China,Wind,Asset finance investments, 95.62 
2009,10,Q4,2009Q4,China,Solar,Asset finance investments, 26.36 
2011,9,Q3,2011Q3,China,Solar,Asset finance investments, 70.14 
2014,12,Q4,2014Q4,China,Solar,Asset finance investments, 66.07 
2013,6,Q2,2013Q2,China,Solar,Asset finance investments, 21.16 
2015,1,Q1,2015Q1,China,Solar,Asset finance investments, 35.20 
2015,5,Q2,2015Q2,China,Wind,Asset finance investments, 69.30 
2011,12,Q4,2011Q4,China,Wind,Asset finance investments, 67.95 
2012,1,Q1,2012Q1,China,Wind,Asset finance investments, 69.47 
2006,8,Q3,2006Q3,China,Wind,Asset finance investments, 51.39 
2007,5,Q2,2007Q2,China,Wind,Asset finance investments, 72.86 
2008,9,Q3,2008Q3,China,Wind,Asset finance investments, 77.82 
2009,10,Q4,2009Q4,China,Wind,Asset finance investments, 81.27 
2013,4,Q2,2013Q2,China,Solar,Asset finance investments, 20.56 
2016,5,Q2,2016Q2,China,Wind,Asset finance investments, 44.12 
2012,9,Q3,2012Q3,China,Solar,Asset finance investments, 47.46 
2010,7,Q3,2010Q3,China,Wind,Asset finance investments, 69.30 
2016,6,Q2,2016Q2,China,Wind,Asset finance investments, 76.73 
2010,8,Q3,2010Q3,China,Wind,Asset finance investments, 63.24 
2010,4,Q2,2010Q2,China,Wind,Asset finance investments, 62.83 
2013,12,Q4,2013Q4,China,Solar,Asset finance investments, 15.71 
2012,1,Q1,2012Q1,China,Wind,Asset finance investments, 72.37 
2016,8,Q3,2016Q3,China,Wind,Asset finance investments, 63.55 
2015,6,Q2,2015Q2,China,Wind,Asset finance investments, 69.30 
2015,8,Q3,2015Q3,China,Wind,Asset finance investments, 59.45 
2009,8,Q3,2009Q3,China,Wind,Asset finance investments, 78.46 
2010,3,Q1,2010Q1,China,Wind,Asset finance investments, 280.00 
2016,9,Q3,2016Q3,China,Wind,Asset finance investments, 44.18 
2011,4,Q2,2011Q2,China,Wind,Asset finance investments, 80.02 
2016,9,Q3,2016Q3,China,Wind,Asset finance investments, 60.02 
2009,8,Q3,2009Q3,China,Wind,Asset finance investments, 91.63 
2017,6,Q2,2017Q2,China,Wind,Asset finance investments, 69.37 
2013,6,Q2,2013Q2,China,Wind,Asset finance investments, 65.70 
2007,8,Q3,2007Q3,China,Wind,Asset finance investments, 78.96 
2009,2,Q1,2009Q1,China,Wind,Asset finance investments, 69.21 
2010,2,Q1,2010Q1,China,Wind,Asset finance investments, 69.30 
2009,12,Q4,2009Q4,China,Wind,Asset finance investments, 82.91 
2010,10,Q4,2010Q4,China,Wind,Asset finance investments, 69.30 
2012,2,Q1,2012Q1,China,Solar,Asset finance investments, 48.93 
2011,8,Q3,2011Q3,China,Wind,Asset finance investments, 72.77 
2016,2,Q1,2016Q1,China,Wind,Asset finance investments, 76.31 
2016,12,Q4,2016Q4,China,Wind,Asset finance investments, 139.34 
2014,3,Q1,2014Q1,China,Wind,Asset finance investments, 67.20 
2015,7,Q3,2015Q3,China,Wind,Asset finance investments, 175.76 
2015,4,Q2,2015Q2,China,Wind,Asset finance investments, 67.20 
2017,10,Q4,2017Q4,China,Wind,Asset finance investments, 64.24 
2014,6,Q2,2014Q2,China,Wind,Asset finance investments, 420.00 
2012,2,Q1,2012Q1,China,Wind,Asset finance investments, 85.08 
2010,3,Q1,2010Q1,China,Wind,Asset finance investments, 73.25 
2012,8,Q3,2012Q3,China,Wind,Asset finance investments, 73.20 
2015,12,Q4,2015Q4,China,Wind,Asset finance investments, 67.60 
2014,8,Q3,2014Q3,China,Wind,Asset finance investments, 73.01 
2016,10,Q4,2016Q4,China,Wind,Asset finance investments, 73.71 
2014,12,Q4,2014Q4,China,Wind,Asset finance investments, 39.16 
2017,11,Q4,2017Q4,China,Wind,Asset finance investments, 79.82 
2017,2,Q1,2017Q1,China,Wind,Asset finance investments, 535.62 
2010,7,Q3,2010Q3,China,Wind,Asset finance investments, 73.79 
2011,11,Q4,2011Q4,China,Wind,Asset finance investments, 72.77 
2016,6,Q2,2016Q2,China,Wind,Asset finance investments, 76.73 
2015,4,Q2,2015Q2,China,Wind,Asset finance investments, 27.30 
2016,9,Q3,2016Q3,China,Wind,Asset finance investments, 140.91 
2016,7,Q3,2016Q3,China,Wind,Asset finance investments, 72.49 
2016,3,Q1,2016Q1,China,Wind,Asset finance investments, 155.00 
2011,5,Q2,2011Q2,China,Wind,Asset finance investments, 39.69 
2012,5,Q2,2012Q2,China,Wind,Asset finance investments, 98.93 
2010,3,Q1,2010Q1,China,Wind,Asset finance investments, 75.99 
2010,11,Q4,2010Q4,China,Wind,Asset finance investments, 73.76 
2016,10,Q4,2016Q4,China,Wind,Asset finance investments, 56.96 
2016,7,Q3,2016Q3,China,Wind,Asset finance investments, 784.44 
2017,12,Q4,2017Q4,China,Wind,Asset finance investments, 64.97 
2010,5,Q2,2010Q2,China,Wind,Asset finance investments, 73.23 
2010,6,Q2,2010Q2,China,Wind,Asset finance investments, 29.49 
2010,7,Q3,2010Q3,China,Wind,Asset finance investments, 73.77 
2012,4,Q2,2012Q2,China,Wind,Asset finance investments, 88.14 
2014,3,Q1,2014Q1,China,Wind,Asset finance investments, 562.80 
2016,4,Q2,2016Q2,China,Wind,Asset finance investments, 68.24 
2012,4,Q2,2012Q2,China,Wind,Asset finance investments, 78.82 
2011,5,Q2,2011Q2,China,Wind,Asset finance investments, 64.64 
2011,12,Q4,2011Q4,China,Wind,Asset finance investments, 70.56 
2011,12,Q4,2011Q4,China,Wind,Asset finance investments, 72.77 
2012,4,Q2,2012Q2,China,Wind,Asset finance investments, 78.82 
2018,2,Q1,2018Q1,China,Wind,Asset finance investments, 79.87 
2012,7,Q3,2012Q3,China,Wind,Asset finance investments, 72.09 
2012,2,Q1,2012Q1,China,Wind,Asset finance investments, 71.64 
2011,6,Q2,2011Q2,China,Wind,Asset finance investments, 73.50 
2009,5,Q2,2009Q2,China,Wind,Asset finance investments, 80.09 
2011,8,Q3,2011Q3,China,Wind,Asset finance investments, 72.77 
2017,2,Q1,2017Q1,China,Wind,Asset finance investments, 80.08 
2010,6,Q2,2010Q2,China,Wind,Asset finance investments, 70.00 
2011,9,Q3,2011Q3,China,Wind,Asset finance investments, 73.90 
2012,12,Q4,2012Q4,China,Wind,Asset finance investments, 70.72 
2015,11,Q4,2015Q4,China,Wind,Asset finance investments, 70.00 
2014,8,Q3,2014Q3,China,Wind,Asset finance investments, 69.30 
2015,11,Q4,2015Q4,China,Wind,Asset finance investments, 67.20 
2011,11,Q4,2011Q4,China,Wind,Asset finance investments, 72.04 
2009,7,Q3,2009Q3,China,Wind,Asset finance investments, 76.09 
2013,12,Q4,2013Q4,China,Wind,Asset finance investments, 77.20 
2015,9,Q3,2015Q3,China,Wind,Asset finance investments, 69.30 
2013,3,Q1,2013Q1,China,Wind,Asset finance investments, 281.40 
2016,7,Q3,2016Q3,China,Wind,Asset finance investments, 328.14 
2012,5,Q2,2012Q2,China,Wind,Asset finance investments, 83.40 
2010,4,Q2,2010Q2,China,Wind,Asset finance investments, 74.40 
2010,4,Q2,2010Q2,China,Wind,Asset finance investments, 72.46 
2011,12,Q4,2011Q4,China,Wind,Asset finance investments, 72.77 
2010,8,Q3,2010Q3,China,Wind,Asset finance investments, 71.48 
2010,8,Q3,2010Q3,China,Wind,Asset finance investments, 69.30 
2010,8,Q3,2010Q3,China,Wind,Asset finance investments, 70.00 
2016,3,Q1,2016Q1,China,Wind,Asset finance investments, 71.08 
2011,4,Q2,2011Q2,China,Wind,Asset finance investments, 72.77 
2011,4,Q2,2011Q2,China,Wind,Asset finance investments, 72.77 
2015,8,Q3,2015Q3,China,Wind,Asset finance investments, 80.52 
2012,5,Q2,2012Q2,China,Biomass & Waste,Asset finance investments, 82.26 
2012,2,Q1,2012Q1,China,Wind,Asset finance investments, 71.64 
2015,7,Q3,2015Q3,China,Wind,Asset finance investments, 67.20 
2011,9,Q3,2011Q3,China,Wind,Asset finance investments, 82.27 
2014,5,Q2,2014Q2,China,Wind,Asset finance investments, 65.50 
2016,7,Q3,2016Q3,China,Wind,Asset finance investments, 232.50 
2014,6,Q2,2014Q2,China,Wind,Asset finance investments, 70.32 
2016,9,Q3,2016Q3,China,Wind,Asset finance investments, 40.60 
2012,3,Q1,2012Q1,China,Wind,Asset finance investments, 78.43 
2012,8,Q3,2012Q3,China,Wind,Asset finance investments, 73.45 
2011,3,Q1,2011Q1,China,Wind,Asset finance investments, 72.77 
2010,8,Q3,2010Q3,China,Wind,Asset finance investments, 70.00 
2014,5,Q2,2014Q2,China,Wind,Asset finance investments, 67.23 
2011,3,Q1,2011Q1,China,Wind,Asset finance investments, 72.77 
2010,5,Q2,2010Q2,China,Wind,Asset finance investments, 69.30 
2010,8,Q3,2010Q3,China,Wind,Asset finance investments, 69.30 
2015,7,Q3,2015Q3,China,Wind,Asset finance investments, 279.30 
2011,8,Q3,2011Q3,China,Wind,Asset finance investments, 78.10 
2012,7,Q3,2012Q3,China,Solar,Asset finance investments, 19.08 
2013,6,Q2,2013Q2,China,Wind,Asset finance investments, 69.30 
2012,8,Q3,2012Q3,China,Wind,Asset finance investments, 71.53 
2011,4,Q2,2011Q2,China,Wind,Asset finance investments, 71.00 
2014,6,Q2,2014Q2,China,Wind,Asset finance investments, 69.30 
2015,5,Q2,2015Q2,China,Wind,Asset finance investments, 69.30 
2015,6,Q2,2015Q2,China,Wind,Asset finance investments, 69.30 
2015,6,Q2,2015Q2,China,Wind,Asset finance investments, 69.30 
2015,6,Q2,2015Q2,China,Wind,Asset finance investments, 69.30 
2011,10,Q4,2011Q4,China,Wind,Asset finance investments, 62.15 
2010,7,Q3,2010Q3,China,Wind,Asset finance investments, 69.30 
2009,8,Q3,2009Q3,China,Wind,Asset finance investments, 84.04 
2010,5,Q2,2010Q2,China,Wind,Asset finance investments, 67.96 
2010,5,Q2,2010Q2,China,Wind,Asset finance investments, 67.97 
2015,5,Q2,2015Q2,China,Wind,Asset finance investments, 140.00 
2012,5,Q2,2012Q2,China,Wind,Asset finance investments, 73.28 
2016,1,Q1,2016Q1,China,Wind,Asset finance investments, 76.01 
2013,7,Q3,2013Q3,China,Wind,Asset finance investments, 68.47 
2011,3,Q1,2011Q1,China,Wind,Asset finance investments, 72.77 
2016,3,Q1,2016Q1,China,Wind,Asset finance investments, 59.21 
2013,10,Q4,2013Q4,China,Wind,Asset finance investments, 78.84 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 12.92 
2017,3,Q1,2017Q1,China,Solar,Asset finance investments, 12.92 
2010,7,Q3,2010Q3,China,Wind,Asset finance investments, 85.63 
2011,4,Q2,2011Q2,China,Wind,Asset finance investments, 72.47 
2009,11,Q4,2009Q4,China,Wind,Asset finance investments, 33.50 
2008,7,Q3,2008Q3,China,Wind,Asset finance investments, 68.30 
2017,3,Q1,2017Q1,China,Wind,Asset finance investments, 60.48 
2016,5,Q2,2016Q2,China,Wind,Asset finance investments, 77.50 
2007,12,Q4,2007Q4,China,Wind,Asset finance investments, 38.72 
2011,11,Q4,2011Q4,China,Wind,Asset finance investments, 76.95 
2015,12,Q4,2015Q4,China,Wind,Asset finance investments, 184.67 
2015,6,Q2,2015Q2,China,Wind,Asset finance investments, 67.65 
2011,8,Q3,2011Q3,China,Solar,Asset finance investments, 90.30 
2012,9,Q3,2012Q3,China,Solar,Asset finance investments, 40.68 
2013,10,Q4,2013Q4,China,Solar,Asset finance investments, 12.80 
2011,11,Q4,2011Q4,China,Solar,Asset finance investments, 4.52 
2013,1,Q1,2013Q1,China,Solar,Asset finance investments, 38.11 
2015,10,Q4,2015Q4,China,Wind,Asset finance investments, 69.30 
2016,12,Q4,2016Q4,China,Wind,Asset finance investments, 120.97 
2015,10,Q4,2015Q4,China,Wind,Asset finance investments, 263.28 
2013,10,Q4,2013Q4,China,Wind,Asset finance investments, 69.30 
2008,7,Q3,2008Q3,China,Biomass & Waste,Asset finance investments, 2.83 
2017,3,Q1,2017Q1,China,Wind,Asset finance investments, 43.51 
2015,6,Q2,2015Q2,China,Wind,Asset finance investments, 70.87 
2008,10,Q4,2008Q4,China,Wind,Asset finance investments, 697.61 
2011,10,Q4,2011Q4,China,Solar,Asset finance investments, 111.09 
2008,4,Q2,2008Q2,China,Wind,Asset finance investments, 66.11 
2013,8,Q3,2013Q3,China,Solar,Asset finance investments, 32.00 
2010,4,Q2,2010Q2,China,Wind,Asset finance investments, 64.92 
2010,8,Q3,2010Q3,China,Wind,Asset finance investments, 69.30 
2012,9,Q3,2012Q3,China,Wind,Asset finance investments, 72.09 
2013,10,Q4,2013Q4,China,Wind,Asset finance investments, 69.30 
2010,3,Q1,2010Q1,China,Wind,Asset finance investments, 69.30 
2012,5,Q2,2012Q2,China,Wind,Asset finance investments, 78.82 
2012,2,Q1,2012Q1,China,Wind,Asset finance investments, 69.47 
2009,2,Q1,2009Q1,China,Wind,Asset finance investments, 73.03 
2010,5,Q2,2010Q2,China,Wind,Asset finance investments, 73.23 
2015,3,Q1,2015Q1,China,Wind,Asset finance investments, 77.36 
2016,11,Q4,2016Q4,China,Wind,Asset finance investments, 63.97 
2009,5,Q2,2009Q2,China,Wind,Asset finance investments, 80.90 
2012,3,Q1,2012Q1,China,Wind,Asset finance investments, 75.39 
2016,3,Q1,2016Q1,China,Wind,Asset finance investments, 71.12 
2006,7,Q3,2006Q3,China,Wind,Asset finance investments, 46.41 
2009,5,Q2,2009Q2,China,Wind,Asset finance investments, 82.83 
2010,5,Q2,2010Q2,China,Wind,Asset finance investments, 70.00 
2011,3,Q1,2011Q1,China,Wind,Asset finance investments, 73.50 
2008,4,Q2,2008Q2,China,Wind,Asset finance investments, 82.84 
2012,3,Q1,2012Q1,China,Solar,Asset finance investments, 50.61 
2008,5,Q2,2008Q2,China,Solar,Asset finance investments, 9.36 
2015,4,Q2,2015Q2,China,Wind,Asset finance investments, 140.00 
2010,3,Q1,2010Q1,China,Wind,Asset finance investments, 71.00 
2011,4,Q2,2011Q2,China,Wind,Asset finance investments, 72.77 
2011,4,Q2,2011Q2,China,Wind,Asset finance investments, 72.77 
2010,12,Q4,2010Q4,China,Wind,Asset finance investments, 76.63 
2014,5,Q2,2014Q2,China,Solar,Asset finance investments, 32.00 
2012,9,Q3,2012Q3,China,Solar,Asset finance investments, 40.57 
2015,11,Q4,2015Q4,China,Solar,Asset finance investments, 80.00 
2016,12,Q4,2016Q4,China,Wind,Asset finance investments, 66.95 
2014,4,Q2,2014Q2,China,Wind,Asset finance investments, 69.30 
2017,8,Q3,2017Q3,China,Wind,Asset finance investments, 82.28 
2015,3,Q1,2015Q1,China,Wind,Asset finance investments, 69.30 
2012,6,Q2,2012Q2,China,Wind,Asset finance investments, 78.82 
2015,9,Q3,2015Q3,China,Wind,Asset finance investments, 89.82 
2016,10,Q4,2016Q4,China,Wind,Asset finance investments, 61.99 
2015,3,Q1,2015Q1,China,Wind,Asset finance investments, 68.18 
2011,6,Q2,2011Q2,China,Solar,Asset finance investments, 7.95 
2008,8,Q3,2008Q3,China,Wind,Asset finance investments, 79.61 
2008,4,Q2,2008Q2,China,Wind,Asset finance investments, 82.34 
2009,1,Q1,2009Q1,China,Wind,Asset finance investments, 73.24 
2015,7,Q3,2015Q3,China,Wind,Asset finance investments, 67.96 
2015,7,Q3,2015Q3,China,Wind,Asset finance investments, 67.96 
2012,1,Q1,2012Q1,China,Wind,Asset finance investments, 69.47 
2012,1,Q1,2012Q1,China,Wind,Asset finance investments, 69.47 
2009,11,Q4,2009Q4,China,Wind,Asset finance investments, 304.65 
2008,11,Q4,2008Q4,China,Wind,Asset finance investments, 78.93 
2008,11,Q4,2008Q4,China,Wind,Asset finance investments, 77.56 
2009,6,Q2,2009Q2,China,Wind,Asset finance investments, 80.09 
2009,9,Q3,2009Q3,China,Wind,Asset finance investments, 81.57 
2010,5,Q2,2010Q2,China,Wind,Asset finance investments, 73.25 
